Titulo;Ano;Genero;Duracao;Diretor;Roteirista;Nota IMDB;Qtd Rev IMDB;Nota Metascore;Qtd Rev Metascore;Sinopse;Link
O Protetor 2;2018;Action;0;Antoine Fuqua;Richard Lindheim;;0;0;0;"
                    Robert McCall serves an unflinching justice for the exploited and oppressed, but how far will he go when that is someone he loves?
            ";http://www.imdb.com/title/tt3766354/?ref_=nm_flmg_act_1
Roman J. Israel, Esq.;2017;Crime;122;Dan Gilroy;Dan Gilroy;6.4;14103;58;116;"
                    Roman J. Israel, Esq., a driven, idealistic defense attorney, finds himself in a tumultuous series of events that lead to a crisis and the necessity for extreme action.
            ";http://www.imdb.com/title/tt6000478/?ref_=nm_flmg_act_2
Um Limite Entre Nós;2016;Drama;139;Denzel Washington;August Wilson;7.2;74162;79;287;"
                    A working-class African-American father tries to raise his family in the 1950s, while coming to terms with the events of his life.
            ";http://www.imdb.com/title/tt2671706/?ref_=nm_flmg_act_3
Sete Homens e um Destino;2016;Action;132;Antoine Fuqua;Akira Kurosawa;6.9;151581;54;391;"
                    Seven gunmen in the old west gradually come together to help a poor village against savage thieves.
            ";http://www.imdb.com/title/tt2404435/?ref_=nm_flmg_act_4
O Protetor;2014;Action;132;Antoine Fuqua;Richard Wenk;7.2;263544;57;470;"
                    A man believes he has put his mysterious past behind him and has dedicated himself to beginning a new, quiet life. But when he meets a young girl under the control of ultra-violent Russian gangsters, he can't stand idly by - he has to help her.
            ";http://www.imdb.com/title/tt0455944/?ref_=nm_flmg_act_5
Dose Dupla;2013;Action;109;Baltasar Kormákur;Blake Masters;6.7;173153;55;178;"
                    Two hardened criminals get into trouble with the US border patrol after meeting with a Mexican drug lord, and then revelations start to unfold.
            ";http://www.imdb.com/title/tt1272878/?ref_=nm_flmg_act_6
O Voo;2012;Drama;138;Robert Zemeckis;John Gatins;7.3;287892;76;512;"
                    An airline pilot saves almost all his passengers on his malfunctioning airliner which eventually crashed, but an investigation into the accident reveals something troubling.
            ";http://www.imdb.com/title/tt1907668/?ref_=nm_flmg_act_7
Protegendo o Inimigo;2012;Action;115;Daniel Espinosa;David Guggenheim;6.8;181901;52;280;"
                    A young CIA agent is tasked with looking after a fugitive in a safe house. But when the safe house is attacked, he finds himself on the run with his charge.
            ";http://www.imdb.com/title/tt1599348/?ref_=nm_flmg_act_8
Incontrolável;2010;Action;98;Tony Scott;Mark Bomback;6.8;164624;69;335;"
                    With an unmanned, half-mile-long freight train barreling toward a city, a veteran engineer and a young conductor race against the clock to prevent a catastrophe.
            ";http://www.imdb.com/title/tt0477080/?ref_=nm_flmg_act_9
O Livro de Eli;2010;Action;118;Albert Hughes;Gary Whitta;6.9;254153;53;582;"
                    A post-apocalyptic tale, in which a lone man fights his way across America in order to protect a sacred book that holds the secrets to saving humankind.
            ";http://www.imdb.com/title/tt1037705/?ref_=nm_flmg_act_10
O Sequestro do Metrô 123;2009;Action;106;Tony Scott;Brian Helgeland;6.4;164497;55;293;"
                    Armed men hijack a New York City subway train, holding the passengers hostage in return for a ransom, and turning an ordinary day's work for dispatcher Walter Garber into a face-off with the mastermind behind the crime.
            ";http://www.imdb.com/title/tt1111422/?ref_=nm_flmg_act_11
O Grande Debate;2007;Biography;126;Denzel Washington;Robert Eisele;7.6;51488;65;122;"
                    A drama based on the true story of Melvin B. Tolson, a professor at Wiley College Texas. In 1935, he inspired students to form the school's first debate team, which went on to challenge Harvard in the national championship.
            ";http://www.imdb.com/title/tt0427309/?ref_=nm_flmg_act_12
O Gângster;2007;Biography;157;Ridley Scott;Steven Zaillian;7.8;350500;76;470;"
                    An outcast New York City cop is charged with bringing down Harlem drug lord Frank Lucas, whose real life inspired this partly biographical film.
            ";http://www.imdb.com/title/tt0765429/?ref_=nm_flmg_act_13
Déjà Vu;2006;Action;126;Tony Scott;Bill Marsilii;7.0;264132;59;418;"
                    After a ferry is bombed in New Orleans, an A.T.F. agent joins a unique investigation using experimental surveillance technology to find the bomber, but soon finds himself becoming obsessed with one of the victims.
            ";http://www.imdb.com/title/tt0453467/?ref_=nm_flmg_act_14
O Plano Perfeito;2006;Crime;129;Spike Lee;Russell Gewirtz;7.6;298100;76;664;"
                    A police detective, a bank robber, and a high-power broker enter high-stakes negotiations after the criminal's brilliant heist spirals into a hostage situation.
            ";http://www.imdb.com/title/tt0454848/?ref_=nm_flmg_act_15
Sob o Domínio do Mal;2004;Drama;129;Jonathan Demme;Richard Condon;6.6;93348;76;370;"
                    In the midst of the Gulf War, soldiers are kidnapped and brainwashed for sinister purposes.
            ";http://www.imdb.com/title/tt0368008/?ref_=nm_flmg_act_16
Chamas da Vingança;2004;Action;146;Tony Scott;A.J. Quinnell;7.7;292091;47;704;"
                    In Mexico City, a former assassin swears vengeance on those who committed an unspeakable act against the family he was hired to protect.
            ";http://www.imdb.com/title/tt0328107/?ref_=nm_flmg_act_17
Por um Triz;2003;Action;105;Carl Franklin;David Collard;6.5;50391;63;159;"
                    A Florida police chief must solve a vicious double homicide before he himself falls under suspicion.
            ";http://www.imdb.com/title/tt0313443/?ref_=nm_flmg_act_18
Voltando a Viver;2002;Biography;120;Denzel Washington;Antwone Fisher;7.3;29072;62;159;"
                    Antwone Fisher, a young navy man, is forced to see a psychiatrist after a violent outburst against a fellow crewman. During the course of treatment a painful past is revealed and a new hope begins.
            ";http://www.imdb.com/title/tt0168786/?ref_=nm_flmg_act_19
Um Ato de Coragem;2002;Crime;116;Nick Cassavetes;James Kearns;7.1;109417;30;401;"
                    John Quincy Archibald takes a hospital emergency room hostage when his insurance won't cover his son's heart transplant.
            ";http://www.imdb.com/title/tt0251160/?ref_=nm_flmg_act_20
Dia de Treinamento;2001;Crime;122;Antoine Fuqua;David Ayer;7.7;338025;69;651;"
                    On his first day on the job as a Los Angeles narcotics officer, a rookie cop goes beyond a full work day in training within the narcotics division of the LAPD with a rogue detective who isn't what he appears to be.
            ";http://www.imdb.com/title/tt0139654/?ref_=nm_flmg_act_21
Duelo de Titãs;2000;Biography;113;Boaz Yakin;Gregory Allen Howard;7.8;176283;48;405;"
                    The true story of a newly appointed African-American coach and his high school team on their first season as a racially integrated unit.
            ";http://www.imdb.com/title/tt0210945/?ref_=nm_flmg_act_22
Hurricane: O Furacão;1999;Biography;146;Norman Jewison;Rubin 'Hurricane' Carter;7.6;82867;74;271;"
                    The story of Rubin ""Hurricane"" Carter, a boxer wrongly imprisoned for murder, and the people who aided in his fight to prove his innocence.
            ";http://www.imdb.com/title/tt0174856/?ref_=nm_flmg_act_23
O Colecionador de Ossos;1999;Crime;118;Phillip Noyce;Jeffery Deaver;6.7;133601;45;408;"
                    A quadriplegic ex-homicide detective and his female partner try to track down a serial killer who is terrorizing New York City.
            ";http://www.imdb.com/title/tt0145681/?ref_=nm_flmg_act_24
Nova York Sitiada;1998;Action;116;Edward Zwick;Lawrence Wright;6.3;62311;53;291;"
                    The secret U.S. abduction of a suspected terrorist leads to a wave of terrorist attacks in New York City, which leads to the declaration of martial-law.
            ";http://www.imdb.com/title/tt0133952/?ref_=nm_flmg_act_25
Jogada Decisiva;1998;Drama;136;Spike Lee;Spike Lee;6.9;39216;63;114;"
                    A basketball player's father must try to convince him to go to a college so he can get a shorter sentence.
            ";http://www.imdb.com/title/tt0124718/?ref_=nm_flmg_act_26
Possuídos;1998;Action;124;Gregory Hoblit;Nicholas Kazan;7.0;64810;0;244;"
                    Homicide detective John Hobbes witnesses the execution of serial killer Edgar Reese. Soon after the execution the killings start again, and they are very similar to Reese's style.
            ";http://www.imdb.com/title/tt0119099/?ref_=nm_flmg_act_27
Happily Ever After: Fairy Tales for Every Child;0;Animation;30;;Two Oceans Entertainment Group;6.4;423;0;1;"
                    Multicultural versions of many of your favorite fairy tales. Such as ""The Princess and the Pea"" and ""The Three Little Pigs"".
            ";http://www.imdb.com/title/tt0111996/?ref_=nm_flmg_act_28
Mother Goose: A Rappin' and Rhymin' Special;1997;Comedy;34;;Barry Douglas;5.4;94;0;1;"
                    Feeling under appreciated, Mother Goose has decided to quit her job and move away for early retirement. But nothing in fairy tale land seems right without Mother Gooseberg's rhymes. It's up...
                    See full summary »
            ";http://www.imdb.com/title/tt0325842/?ref_=nm_flmg_act_29
Um Anjo em Minha Vida;1996;Comedy;123;Penny Marshall;Robert Nathan;5.5;9658;0;49;"
                    Good natured Reverend Henry Biggs finds that his marriage to choir mistress Julia is flagging, due to his constant absence caring for the deprived neighborhood they live in. On top of all ...
                    See full summary »
            ";http://www.imdb.com/title/tt0117372/?ref_=nm_flmg_act_30
Coragem Sob Fogo;1996;Action;116;Edward Zwick;Patrick Sheane Duncan;6.6;44344;77;111;"
                    A U.S. Army officer, despondent about a deadly mistake he made, investigates a female chopper commander's worthiness for the Medal of Honor.
            ";http://www.imdb.com/title/tt0115956/?ref_=nm_flmg_act_31
O Diabo Veste Azul;1995;Crime;102;Carl Franklin;Walter Mosley;6.7;14849;78;60;"
                    An African-American man is hired to find a woman, and gets mixed up in a murderous political scandal.
            ";http://www.imdb.com/title/tt0112857/?ref_=nm_flmg_act_32
Assassino Virtual;1995;Action;106;Brett Leonard;Eric Bernt;5.6;25241;39;89;"
                    When a virtual reality simulation created using the personalities of multiple serial killers manages to escape into the real world, an ex-cop is tasked with stopping its reign of terror.
            ";http://www.imdb.com/title/tt0114857/?ref_=nm_flmg_act_33
Maré Vermelha;1995;Action;116;Tony Scott;Michael Schiffer;7.3;88827;66;198;"
                    On a U.S. nuclear missile sub, a young First Officer stages a mutiny, to prevent his trigger happy Captain from launching his missiles, before confirming his orders to do so.
            ";http://www.imdb.com/title/tt0112740/?ref_=nm_flmg_act_34
O Dossiê Pelicano;1993;Crime;141;Alan J. Pakula;John Grisham;6.6;65848;50;96;"
                    A law student uncovers a conspiracy, putting herself and others in danger.
            ";http://www.imdb.com/title/tt0107798/?ref_=nm_flmg_act_35
Filadélfia;1993;Drama;125;Jonathan Demme;Ron Nyswaner;7.7;196689;66;275;"
                    When a man with HIV is fired by his law firm because of his condition, he hires a homophobic small time lawyer as the only willing advocate for a wrongful dismissal suit.
            ";http://www.imdb.com/title/tt0107818/?ref_=nm_flmg_act_36
Muito Barulho por Nada;1993;Comedy;111;Kenneth Branagh;William Shakespeare;7.4;40315;0;179;"
                    Young lovers Hero and Claudio, soon to wed, conspire to get verbal sparring partners and confirmed singles Benedick and Beatrice to wed as well.
            ";http://www.imdb.com/title/tt0107616/?ref_=nm_flmg_act_37
Malcolm X;1992;Biography;202;Spike Lee;Alex Haley;7.7;71172;72;165;"
                    Biographical epic of the controversial and influential Black Nationalist leader, from his early life and career as a small-time gangster, to his ministry as a member of the Nation of Islam.
            ";http://www.imdb.com/title/tt0104797/?ref_=nm_flmg_act_38
Great Performances;0;Music;0;;;7.8;462;0;2;"
                    ""You Can't Take It With You"" is hailed one of the greatest revivals and filmed plays for PBS television. David Woods brought stunning charm, humor, and time to this Moss Hart masterpiece. ...
                    See full summary »
            ";http://www.imdb.com/title/tt0159876/?ref_=nm_flmg_act_39
Sem Limite para Vingar;1991;Action;102;Russell Mulcahy;Fred Dekker;6.1;13894;0;60;"
                    A District Attorney is terrorized by the criminal he put away years ago when he was a cop.
            ";http://www.imdb.com/title/tt0102789/?ref_=nm_flmg_act_40
Mississippi Masala;1991;Drama;118;Mira Nair;Sooni Taraporevala;6.6;4222;0;33;"
                    An Indian family is expelled from Uganda when Idi Amin takes power. They move to Mississippi and time passes. The Indian daughter falls in love with a black man, and the respective families...
                    See full summary »
            ";http://www.imdb.com/title/tt0102456/?ref_=nm_flmg_act_41
Mais e Melhores Blues;1990;Drama;129;Spike Lee;Spike Lee;6.6;9259;0;31;"
                    Jazz trumpeter Bleek Gilliam makes questionable decisions in his professional and romantic lives.
            ";http://www.imdb.com/title/tt0100168/?ref_=nm_flmg_act_42
Um Espírito Grudou em Mim;1990;Comedy;100;James D. Parriott;James D. Parriott;5.6;2712;0;14;"
                    A racist cop receives a heart transplant from a black lawyer he hates, who returns as a ghost to ask the cop to help take down the men who murdered him.
            ";http://www.imdb.com/title/tt0099750/?ref_=nm_flmg_act_43
Tempo de Glória;1989;Biography;122;Edward Zwick;Kevin Jarre;7.9;109393;0;423;"
                    Robert Gould Shaw leads the U.S. Civil War's first all-black volunteer company, fighting prejudices from both his own Union Army, and the Confederates.
            ";http://www.imdb.com/title/tt0097441/?ref_=nm_flmg_act_44
O Poderoso Quinn;1989;Action;98;Carl Schenkel;Albert Z. Carr;6.1;3950;71;27;"
                    When police officer Xavier Quinn's childhood friend, Maubee, becomes associated with murder and a briefcase full of ten thousand dollar bills, The Mighty Quinn must clear his name. Or try to catch him, which could be even trickier.
            ";http://www.imdb.com/title/tt0097880/?ref_=nm_flmg_act_45
St. Elsewhere;0;Drama;60;;Joshua Brand;7.9;2802;0;36;"
                    The lives and work of the staff of St. Eligius Hospital, an old and disrespected Boston teaching hospital.
            ";http://www.imdb.com/title/tt0083483/?ref_=nm_flmg_act_46
Herói sem Pátria;1988;Crime;105;Martin Stellman;Martin Stellman;5.7;1905;0;13;"
                    A retired British soldier struggles to adjust to everyday life, with increasing difficulty.
            ";http://www.imdb.com/title/tt0097373/?ref_=nm_flmg_act_47
Um Grito de Liberdade;1987;Biography;157;Richard Attenborough;John Briley;7.5;10967;59;51;"
                    South African journalist Donald Woods is forced to flee the country, after attempting to investigate the death in custody of his friend, the black activist Steve Biko.
            ";http://www.imdb.com/title/tt0092804/?ref_=nm_flmg_act_48
Uma Lição de Coragem;1986;Biography;100;Eric Laneuville;Charles Eric Johnson;6.1;510;0;5;"
                    He risked it all to make the grade.
            ";http://www.imdb.com/title/tt0091106/?ref_=nm_flmg_act_49
Os Donos do Poder;1986;Drama;111;Sidney Lumet;David Himmelstein;5.7;2363;0;16;"
                    After a close friend drops out of politics, a political consultant helping to find a replacement finds a web of corruption and deceit as well.
            ";http://www.imdb.com/title/tt0091786/?ref_=nm_flmg_act_50
A História de um Soldado;1984;Crime;101;Norman Jewison;Charles Fuller;7.2;7469;0;48;"
                    An African American officer investigates a murder in a racially charged situation in World War II.
            ";http://www.imdb.com/title/tt0088146/?ref_=nm_flmg_act_51
License to Kill;1984;Drama;96;Jud Taylor;William A. Schwartz;5.5;745;0;10;"
                    A grieving family whose daughter was killed in a car crash with a drunken driver is outraged and frustrated as they encounter the inevitable bureaucratic delays in bringing the case to ...
                    See full summary »
            ";http://www.imdb.com/title/tt0087617/?ref_=nm_flmg_act_52
A Cara do Pai;1981;Comedy;92;Michael Schultz;Stanley Shapiro;5.6;2084;0;24;"
                    When a rich white corporate executive finds out that he has an illegitimate black son, things start falling apart for him at home, at work and in his social circles.
            ";http://www.imdb.com/title/tt0082138/?ref_=nm_flmg_act_53
Coriolanus;1979;Drama;0;Wilford Leach;William Shakespeare;6.7;72;0;0;"
                    A banished hero of Rome allies with a sworn enemy to take his revenge on the city.
            ";http://www.imdb.com/title/tt0078999/?ref_=nm_flmg_act_54
Flesh & Blood;1979;Drama;240;Jud Taylor;Eric Bercovici;6.5;173;0;3;"
                    A convict takes up boxing in prison and this brings a new meaning to his life. Once out, his trainer motivates him to become a professional boxer. He cares about only two other things, his uncomfortably close mother and absent father.
            ";http://www.imdb.com/title/tt0079161/?ref_=nm_flmg_act_55
Wilma;1977;Biography;100;Bud Greenspan;Bud Greenspan;6.0;168;0;1;"
                    The story of American track sprinter Wilma Rudolph, who overcame physical handicaps to win three gold medals in the 1960 Olympics.
            ";http://www.imdb.com/title/tt0076923/?ref_=nm_flmg_act_56
